No;Provinsi;Kab/Kota;Kecamatan;Kelurahan;;;
195;BANTEN;KOTA TANGERANG;PINANG;CIPETE;;;
196;BANTEN;KOTA TANGERANG;PINANG;KUNCIRAN;;;
197;BANTEN;KOTA TANGERANG;PINANG;KUNCIRAN INDAH;;;
198;BANTEN;KOTA TANGERANG;PINANG;KUNCIRAN JAYA;;;
199;BANTEN;KOTA TANGERANG;PINANG;NEROKTOG;;;
200;BANTEN;KOTA TANGERANG;PINANG;PAKOJAN;;;
201;BANTEN;KOTA TANGERANG;PINANG;PANUNGGANGAN;;;
202;BANTEN;KOTA TANGERANG;PINANG;PANUNGGANGAN TIMUR;;;
203;BANTEN;KOTA TANGERANG;PINANG;PANUNGGANGAN UTARA;;;
204;BANTEN;KOTA TANGERANG;PINANG;PINANG;;;
205;BANTEN;KOTA TANGERANG;PINANG;SUDIMARA PINANG;;;
206;BANTEN;KOTA TANGERANG;TANGERANG;BABAKAN;;;
207;BANTEN;KOTA TANGERANG;TANGERANG;BUARAN INDAH;;;
208;BANTEN;KOTA TANGERANG;TANGERANG;CIKOKOL;;;
209;BANTEN;KOTA TANGERANG;TANGERANG;KELAPA INDAH;;;
210;BANTEN;KOTA TANGERANG;TANGERANG;SUKAASIH;;;
211;BANTEN;KOTA TANGERANG;TANGERANG;SUKARASA;;;
212;BANTEN;KOTA TANGERANG;TANGERANG;SUKASARI;;;
213;BANTEN;KOTA TANGERANG;TANGERANG;TANAH TINGGI;;;
214;BANTEN;KABUPATEN LEBAK;BANJARSARI;BENDUNGAN;;;
215;BANTEN;KABUPATEN LEBAK;BANJARSARI;BOJONGJURUH;;;
216;BANTEN;KABUPATEN LEBAK;BANJARSARI;CIBATURKEUSIK;;;
217;BANTEN;KABUPATEN LEBAK;BANJARSARI;CIDAHU;;;
218;BANTEN;KABUPATEN LEBAK;BANJARSARI;CILEGONG ILIR;;;
219;BANTEN;KABUPATEN LEBAK;BANJARSARI;CIRUJI;;;
220;BANTEN;KABUPATEN LEBAK;BANJARSARI;CISAMPIH;;;
221;BANTEN;KABUPATEN LEBAK;BANJARSARI;GUNUNGSARI;;;
222;BANTEN;KABUPATEN LEBAK;BANJARSARI;JALUPANG GIRANG;;;
223;BANTEN;KABUPATEN LEBAK;BANJARSARI;KADUHAUK;;;
224;BANTEN;KABUPATEN LEBAK;BANJARSARI;KERTA;;;
225;BANTEN;KABUPATEN LEBAK;BANJARSARI;KERTARAHARJA;;;
226;BANTEN;KABUPATEN LEBAK;BANJARSARI;KERTARAHAYU;;;
227;BANTEN;KABUPATEN LEBAK;BANJARSARI;KEUSIK;;;
228;BANTEN;KABUPATEN LEBAK;BANJARSARI;KUMPAY;;;
229;BANTEN;KABUPATEN LEBAK;BANJARSARI;LABANJAYA;;;
230;BANTEN;KABUPATEN LEBAK;BANJARSARI;LEBAKKEUSIK;;;
231;BANTEN;KABUPATEN LEBAK;BANJARSARI;LEUWIIPUH;;;
232;BANTEN;KABUPATEN LEBAK;BANJARSARI;TAMANSARI;;;
233;BANTEN;KABUPATEN LEBAK;BANJARSARI;UMBULJAYA;;;
234;BANTEN;KABUPATEN LEBAK;BAYAH;BAYAH BARAT;;;
235;BANTEN;KABUPATEN LEBAK;BAYAH;BAYAH TIMUR;;;
